Major,Location,Residence,Scholarship,Sex,Type,Type,Enrollment Age,Marital Status,Enrollment Data,Sponsor,Credits Attempted,Credits Completed,Credits Dropped,GPA Current,GPA Average,Number o fSportq,Intermural,Number of Clubes,Expected Graduation Date,Class Of,Actual Graduation Date,comments are well thought out and clearly articulated
Aviation,Pennsylvania,Commuter,All Scholarship Types,Female,FT,Non-Athlete,22,S,1998,,8,6,1,3.8,2.7,0,1,4,2002,2,2002,
Education,Utah,Off-Campus Other,All Scholarship Types,Female,FT,Athelete,24,S,1993,,50,34,6,2,3.9,0,2,4,1997,97,1998,is a tireless worker
Family and Consumer Sciences/human Sciences,Texas,On-Campus University Housing,Private,Female,FT,Non-Athlete,23,S,1987,,83,10,30,1.3,1.1,1,1,0,1991,91,1995,
Mathematics and Statistics,Alabama,Off-Campus Other,Private,Male,FT,Non-Athlete,18,M,1988,,40,1,16,1.9,2.4,3,2,2,1992,92,1996,works efficiently and effectively
Communications Technologies/technicians and Support Services,New Jersey,Off-Campus Other,None,Male,FT,RA,20,S,1994,,139,48,35,1.1,3.1,0,2,0,1998,98,2002,
Military Technologies and Applied Sciences,American,On-Campus University Housing,Other,Male,FT,RA,24,S,1994,,58,58,0,1.1,1.6,3,1,0,1998,98,2002,
Mechanic and Repair Technologies/technicians,New Hampshire,On-Campus Dorm,Other,Male,FT,Non-Athlete,17,S,1999,,28,3,11,2.9,3.2,3,1,1,2003,3,2007,always behaves professionally
Health Professions and Related Programs,Puerto Rico,Commuter,University,Male,PT,Non-Athlete,22,M,1994,,74,13,43,0.75,3.6,2,1,4,1998,98,2000,in the past two years
Multi/interdisciplinary Studies,North Dakota,On-Campus Dorm,University,Male,FT,Non-Athlete,25,S,1999,,118,65,29,1.3,3.6,3,2,3,2003,3,2007,have admiration and respect for
Library Science,Missouri,Commuter,Other,Male,PT,Non-Athlete,17,S,1994,,142,2,109,1.5,1,1,2,1,1998,98,1999,
Human Services,California,On-Campus University Housing,Private,Female,FT,Non-Athlete,21,S,1998,,40,9,6,2.5,3.6,0,1,2,2002,2,2003,
Military Technologies and Applied Sciences,Wyoming,On-Campus University Housing,Private,Female,PT,Non-Athlete,21,M,1999,,110,51,18,2.3,3.3,1,2,2,2003,3,2005,
Computer and Information Sciences and Support Services,Kentucky,Off-Campus Other,University,Male,FT,Non-Athlete,19,M,1993,,120,111,4,3,0.75,0,2,1,1997,97,1999,
Education,Rhode Island,On-Campus Dorm,Other,Female,FT,RA,25,S,2000,,98,92,3,2.4,2.5,2,1,3,2004,4,2008,
Family and Consumer Sciences/human Sciences,South Dakota,On-Campus Dorm,Private,Male,FT,RA,21,M,1985,,60,44,13,1,2.5,3,1,3,1989,89,1990,will be a great addition to
Engineering,Massachusetts,Off-Campus University Housing,Private,Male,FT,RA,19,M,1998,,25,16,0,2.3,2.6,1,2,0,2002,2,2003,am honored to support him as a student
Mechanic and Repair Technologies/technicians,Kentucky,Off-Campus University Housing,Private,Male,PT,Non-Athlete,23,S,1987,,17,0,10,1.7,1.6,4,2,2,1991,91,1993,
Legal Professions and Studies,Palau,On-Campus University Housing,Private,Female,FT,RA,24,S,1990,,75,56,18,1.9,4,3,2,3,1994,94,1997,
Computer and Information Sciences and Support Services,Minnesota,Commuter,Other,Male,PT,Athelete,22,S,2003,,18,14,3,1,3.7,3,1,2,2007,7,2008,
Undeclared,Maine,Off-Campus Other,None,Female,PT,Non-Athlete,20,S,1987,,19,18,0,2.6,2.5,3,1,3,1991,91,1993,give my unqualified recommendation
"Agriculture, Agriculture Operations, and Related Sciences",Vermont,On-Campus University Housing,Private,Male,PT,Non-Athlete,19,M,1999,,17,11,1,2.4,3.8,4,2,4,2003,3,2005,
Family and Consumer Sciences/human Sciences,North Carolina,On-Campus Dorm,Private,Male,FT,Athelete,20,S,2002,,34,17,11,3,4,3,2,2,2006,6,2008,
History,Oregon,On-Campus Dorm,Private,Male,FT,Non-Athlete,23,S,1985,,67,49,13,3.4,3.3,3,1,3,1989,89,1992,
Multi/interdisciplinary Studies,Maine,On-Campus University Housing,All Scholarship Types,Male,FT,RA,23,M,2002,,31,6,13,3.3,0.75,2,2,3,2006,6,2007,
Construction Trades,Rhode Island,Off-Campus Other,Other,Female,FT,Non-Athlete,23,S,2003,,19,1,4,3.9,1,0,2,4,2007,7,2011,will meet your expectations
Human Services,Virginia,On-Campus Dorm,University,Female,FT,Non-Athlete,18,M,2004,,96,56,19,3.1,2.2,0,1,1,2008,8,2008,"one of our finest, most well-rounded undergraduates"
Aviation,Micronesia,Off-Campus University Housing,University,Male,PT,RA,25,M,2003,,108,84,8,1.6,2.9,2,1,3,2007,7,2009,his qualifications and performance
Biological and Biomedical Sciences,Arizona,Commuter,University,Female,FT,Athelete,23,S,1994,,33,27,6,0.75,3.2,0,1,4,1998,98,1999,Builds on knowledge
Legal Professions and Studies,Connecticut,Off-Campus Other,Other,Female,FT,Non-Athlete,21,S,1987,,79,19,1,2.4,3.1,0,1,0,1991,91,1992,
Architecture and Related Services,Wyoming,Commuter,Other,Female,PT,RA,23,M,1988,,96,60,23,2.7,2.7,3,1,0,1992,92,1996,will be a great addition to
Communications Technologies/technicians and Support Services,Florida,Off-Campus University Housing,Private,Female,FT,Athelete,20,S,1988,,94,84,8,2.9,3.7,0,2,2,1992,92,1994,
Mechanic and Repair Technologies/technicians,Ohio,On-Campus Dorm,Private,Female,PT,Non-Athlete,25,M,2005,,42,31,5,2.6,1.7,2,1,3,2009,9,2011,is personable and easy to work with
Construction Trades,Utah,Off-Campus University Housing,None,Male,PT,Athelete,21,S,1999,,55,50,5,3.4,3.8,3,1,2,2003,3,2003,
Human Services,Nebraska,On-Campus Dorm,Other,Female,FT,Non-Athlete,22,S,1986,,70,45,19,2.3,4,4,2,4,1990,90,1990,
"Business, Management, Marketing, and Related Support Services",Marshall Islands,On-Campus University Housing,Private,Male,FT,Athelete,20,M,1999,,33,19,8,3,3.5,1,2,0,2003,3,2004,
Family and Consumer Sciences/human Sciences,Kansas,Off-Campus University Housing,None,Female,PT,Athelete,23,M,2000,,145,132,3,3.9,4,0,2,1,2004,4,2008,
Engineering Technologies and Engineering-Related Fields,Mississippi,Commuter,Other,Male,PT,Non-Athlete,24,M,1999,,27,21,4,3.6,,2,1,4,2003,3,2003,is mature beyond her years
Military Technologies and Applied Sciences,Illinois,Off-Campus Other,University,Male,FT,Non-Athlete,25,S,1989,,93,42,49,3.4,3.4,1,1,4,1993,93,1997,if I can further assist
Construction Trades,Kentucky,On-Campus University Housing,None,Male,FT,Athelete,22,M,1990,,27,5,16,1,3.6,0,1,2,1994,94,1997,his qualifications and performance
History,Micronesia,On-Campus University Housing,Private,Female,PT,Athelete,20,S,1988,,77,34,26,2.7,4,0,2,2,1992,92,1996,"one of our finest, most well-rounded undergraduates"
"Foreign Languages, Literatures, and Linguistics",Idaho,On-Campus Dorm,Other,Male,PT,Athelete,22,M,1990,,52,41,11,1.6,3.6,4,2,0,1994,94,1997,
Multi/interdisciplinary Studies,Arizona,Off-Campus Other,All Scholarship Types,Male,FT,RA,18,S,2003,,34,34,0,1.6,3.7,0,2,0,2007,7,2009,
"Foreign Languages, Literatures, and Linguistics",Minnesota,Off-Campus Other,Other,Male,PT,Non-Athlete,18,M,1985,,117,51,48,2.1,2.7,0,2,2,1989,89,1990,Applies themself
Liberal Arts and Sciences Studies and Humanities,Northern Marianas,Off-Campus University Housing,Other,Male,FT,Non-Athlete,19,S,1992,,124,8,109,1.3,1.8,3,2,3,1996,96,1997,
Biological and Biomedical Sciences,Puerto Rico,On-Campus Dorm,All Scholarship Types,Male,PT,Non-Athlete,19,S,1988,,128,85,37,3.2,1.5,0,1,2,1992,92,1996,has my highest recommendation
Mechanic and Repair Technologies/technicians,Pennsylvania,On-Campus Dorm,Private,Female,FT,Athelete,23,M,1990,,107,63,39,2.6,3.8,2,1,0,1994,94,1998,self-motivated individual
Military Technologies and Applied Sciences,Hawaii,On-Campus Dorm,None,Female,PT,Athelete,19,M,1999,,32,2,3,1.8,3.9,3,1,2,2003,3,2003,would be a valuable addition to any organization
Legal Professions and Studies,Maryland,Commuter,Other,Female,FT,RA,24,S,2001,,22,17,0,2.1,1.1,2,1,0,2005,5,2007,broad range of skills
"Agriculture, Agriculture Operations, and Related Sciences",New Jersey,Off-Campus University Housing,None,Male,FT,Athelete,19,M,1991,,51,21,22,3.8,3.4,1,1,4,1995,95,1996,recommend her very highly
All Majors,New York,Off-Campus Other,None,Male,FT,Non-Athlete,23,M,1990,,119,41,8,1.5,3.9,1,2,4,1994,94,1994,hope this information proves helpful
All Majors,South Dakota,Off-Campus Other,Private,Male,FT,Athelete,23,M,1986,,60,11,23,3.1,3.6,2,1,0,1990,90,1990,broad range of skills
Family and Consumer Sciences/human Sciences,North Dakota,On-Campus Dorm,Other,Female,FT,Athelete,18,S,1991,,70,64,6,2.2,3.8,3,1,2,1995,95,1996,
Education,New Hampshire,Off-Campus University Housing,All Scholarship Types,Female,PT,RA,24,M,1991,,102,40,58,3.6,2.2,1,1,0,1995,95,1995,
"Area, Ethnic, Cultural, Gender, and Group Studies",Virgin Islands,On-Campus Dorm,Other,Female,PT,Athelete,25,S,1998,,32,19,10,2.4,,2,1,1,2002,2,2006,
Communications Technologies/technicians and Support Services,Marshall Islands,On-Campus Dorm,None,Female,FT,Athelete,18,M,1995,,113,78,5,3.6,3.9,1,2,2,1999,99,2002,willing to go beyond what is required
"Agriculture, Agriculture Operations, and Related Sciences",South Carolina,On-Campus University Housing,University,Male,PT,Non-Athlete,20,M,1999,,91,59,24,2.2,1.5,1,1,4,2003,3,2005,
Engineering Technologies and Engineering-Related Fields,Massachusetts,Commuter,University,Female,FT,RA,20,M,1987,,49,13,35,3.7,1.8,2,2,1,1991,91,1993,should be given serious consideration
Mechanic and Repair Technologies/technicians,New Mexico,Commuter,Private,Male,FT,RA,17,M,1997,,48,6,35,2.8,2.6,0,1,4,2001,1,2005,
All Majors,Virgin Islands,On-Campus Dorm,University,Male,PT,Non-Athlete,19,M,1996,,78,53,12,1.8,0.75,3,1,0,2000,0,2002,
Construction Trades,Nevada,Off-Campus Other,None,Female,FT,RA,24,M,1992,,114,104,9,2.3,3.2,4,2,4,1996,96,1998,outstanding leadership abilities
Engineering,Mississippi,On-Campus Dorm,None,Female,FT,Non-Athlete,19,M,2000,,110,63,10,2,1.7,0,1,1,2004,4,2004,"comparable to peers,"
Undeclared,Arizona,Off-Campus University Housing,All Scholarship Types,Male,PT,Athelete,18,S,1991,,108,77,30,3.4,3.3,0,2,4,1995,95,1996,has been a pleasure to supervise
Computer and Information Sciences and Support Services,West Virginia,On-Campus Dorm,Private,Female,PT,RA,25,M,1998,,40,6,20,3.8,3,1,2,3,2002,2,2006,
"Agriculture, Agriculture Operations, and Related Sciences",All Locations,On-Campus University Housing,Private,Male,FT,RA,18,M,2001,,95,69,9,2.2,3.9,3,2,1,2005,5,2005,
"Agriculture, Agriculture Operations, and Related Sciences",Colorado,Off-Campus Other,University,Female,FT,Non-Athlete,22,M,1997,,96,87,8,3.8,1.8,1,2,4,2001,1,2002,meticulous attention to detail
All Majors,Missouri,Off-Campus University Housing,Other,Female,PT,Athelete,19,M,1992,,98,25,1,3.4,3.5,2,1,4,1996,96,1997,
"Communication, Journalism, and Related Programs",Micronesia,Commuter,All Scholarship Types,Male,PT,Non-Athlete,23,S,1985,,25,3,1,3.2,2.5,2,2,1,1989,89,1989,am pleased to comment on
"Area, Ethnic, Cultural, Gender, and Group Studies",Wisconsin,On-Campus Dorm,University,Female,FT,RA,20,S,1999,,21,2,7,3.5,2.8,2,2,3,2003,3,2005,
Military Technologies and Applied Sciences,Puerto Rico,Off-Campus Other,Other,Male,PT,Athelete,20,S,1989,,148,73,62,1.4,3.3,4,2,3,1993,93,1993,
Education,Rhode Island,Off-Campus University Housing,All Scholarship Types,Male,FT,Athelete,23,M,1985,,10,6,1,1.4,3.3,0,2,0,1989,89,1991,follows tasks through to completion
Engineering Technologies and Engineering-Related Fields,Wisconsin,Commuter,All Scholarship Types,Female,FT,RA,25,M,1987,,21,13,4,0.75,2.7,3,2,0,1991,91,1992,
Military Technologies and Applied Sciences,Northern Marianas,Commuter,University,Female,FT,Non-Athlete,17,S,1989,,49,6,17,3.9,2.6,2,2,2,1993,93,1993,
Health Professions and Related Programs,Michigan,Off-Campus Other,Private,Female,PT,Non-Athlete,25,S,1997,,19,3,15,1.6,2.1,4,2,0,2001,1,2003,Applies themself
Engineering,Virgin Islands,On-Campus Dorm,Other,Female,PT,Non-Athlete,24,M,1992,,104,73,4,2.7,1.4,4,2,1,1996,96,1998,
Undeclared,Oklahoma,On-Campus Dorm,All Scholarship Types,Male,FT,Non-Athlete,20,M,1991,,59,22,30,1.7,2.2,1,1,0,1995,95,1996,
Liberal Arts and Sciences Studies and Humanities,Connecticut,Off-Campus Other,None,Male,PT,Athelete,20,S,2002,,131,104,13,2.5,3.7,3,2,0,2006,6,2008,demonstrated particular strengths in
Mechanic and Repair Technologies/technicians,Ohio,Off-Campus University Housing,University,Male,FT,RA,17,M,2004,,144,63,17,3.5,0.75,0,1,3,2008,8,2012,works independently and effectively
Education,New Jersey,Commuter,Other,Female,FT,Athelete,24,M,1996,,145,69,66,1.7,3.8,3,2,3,2000,0,2003,
Mechanic and Repair Technologies/technicians,New York,On-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,17,S,1987,,40,36,4,3.4,1.4,4,2,1,1991,91,1994,self-motivated individual
Mechanic and Repair Technologies/technicians,Wyoming,Off-Campus Other,University,Female,FT,Athelete,23,S,1990,,106,10,90,0.75,3.6,4,1,4,1994,94,1994,
History,Oklahoma,Off-Campus University Housing,Other,Male,FT,Non-Athlete,19,S,2002,,97,84,9,1.6,3.6,0,2,2,2006,6,2007,
"Foreign Languages, Literatures, and Linguistics",South Dakota,Off-Campus University Housing,Other,Female,PT,Non-Athlete,19,S,1993,,120,50,39,2.1,3.4,0,1,1,1997,97,1999,
Liberal Arts and Sciences Studies and Humanities,Northern Marianas,Off-Campus Other,University,Female,FT,Non-Athlete,23,S,1990,,6,1,5,2.4,4,3,1,0,1994,94,1998,
Biological and Biomedical Sciences,Arizona,Off-Campus Other,None,Female,FT,Non-Athlete,20,S,1999,,126,120,0,3.6,2.7,0,2,3,2003,3,2007,
Human Services,Arizona,Off-Campus Other,All Scholarship Types,Male,PT,Non-Athlete,24,S,2005,,89,20,13,1.7,2.4,3,2,4,2009,9,2011,
Legal Professions and Studies,Oregon,On-Campus University Housing,Other,Female,FT,Athelete,23,S,1987,,13,11,0,1.9,3.7,1,1,4,1991,91,1993,
Construction Trades,Ohio,Off-Campus University Housing,Other,Male,FT,RA,17,M,1986,,35,14,5,2.5,2.7,0,1,1,1990,90,1993,
Multi/interdisciplinary Studies,Northern Marianas,Off-Campus Other,University,Female,FT,RA,25,S,2002,,21,11,8,1.7,1.2,4,1,1,2006,6,2009,
Construction Trades,Puerto Rico,Off-Campus University Housing,All Scholarship Types,Male,FT,RA,19,S,1998,,59,52,2,3,3.1,2,1,4,2002,2,2004,
Biological and Biomedical Sciences,Louisiana,On-Campus Dorm,All Scholarship Types,Female,PT,Non-Athlete,24,S,2004,,113,16,90,1.1,2.2,0,2,0,2008,8,2011,
Engineering Technologies and Engineering-Related Fields,Montana,Commuter,All Scholarship Types,Female,FT,Non-Athlete,17,S,2001,,128,32,45,3.4,3.3,2,2,4,2005,5,2009,is a pleasure to recommend
All Majors,New Jersey,Off-Campus University Housing,Private,Female,PT,Non-Athlete,19,M,1991,,126,109,7,3.7,3.5,3,1,3,1995,95,1999,demonstrated particular strengths in
History,Utah,On-Campus Dorm,Other,Female,PT,Non-Athlete,20,M,1988,,43,30,2,2.8,4,0,2,4,1992,92,1993,
Communications Technologies/technicians and Support Services,Virgin Islands,On-Campus Dorm,All Scholarship Types,Female,FT,Non-Athlete,24,M,1992,,116,103,11,4,2.2,0,2,2,1996,96,1998,completely loyal and trustworthy
Undeclared,Massachusetts,On-Campus University Housing,All Scholarship Types,Female,FT,Athelete,22,S,1985,,63,39,3,2,3.8,3,2,3,1989,89,1993,
Multi/interdisciplinary Studies,Iowa,Off-Campus Other,Private,Female,FT,RA,19,M,1985,,100,34,3,1.2,2,2,2,2,1989,89,1990,
Multi/interdisciplinary Studies,Connecticut,On-Campus University Housing,Other,Male,PT,Non-Athlete,21,S,1999,,37,16,8,1.1,2.4,4,2,2,2003,3,2006,
Multi/interdisciplinary Studies,Massachusetts,On-Campus University Housing,University,Male,PT,Athelete,22,M,1987,,26,23,3,0.75,3.7,3,2,1,1991,91,1991,a creative problem-solver
"Communication, Journalism, and Related Programs",Massachusetts,Off-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,22,M,2000,,18,17,0,3,1.9,1,2,2,2004,4,2008,
Military Technologies and Applied Sciences,Utah,On-Campus University Housing,None,Female,FT,Non-Athlete,21,M,1996,,88,68,16,2.9,3.5,4,1,2,2000,0,2004,
"Communication, Journalism, and Related Programs",Vermont,Off-Campus Other,Other,Male,PT,RA,21,S,2000,,124,21,49,3.9,1.1,3,2,0,2004,4,2006,
Legal Professions and Studies,New Mexico,Off-Campus Other,University,Female,FT,Non-Athlete,19,S,1985,,24,11,2,3.7,3,0,1,2,1989,89,1989,
Multi/interdisciplinary Studies,Ohio,Off-Campus Other,All Scholarship Types,Male,FT,Athelete,18,M,1998,,58,45,6,3.9,3.4,2,2,4,2002,2,2006,will be successful in any enterprise he undertakes
Engineering,Delaware,Off-Campus Other,University,Female,FT,Athelete,18,M,1995,,33,33,0,1.4,3.7,2,1,3,1999,99,2001,
Computer and Information Sciences and Support Services,All Locations,Off-Campus Other,Other,Female,PT,Non-Athlete,17,S,1994,,21,20,1,0.75,2.3,3,1,0,1998,98,2002,
Liberal Arts and Sciences Studies and Humanities,Georgia,Commuter,Other,Male,FT,Non-Athlete,25,M,1994,,130,4,32,2.2,3.1,0,1,0,1998,98,1998,
Biological and Biomedical Sciences,Minnesota,On-Campus Dorm,Private,Female,FT,RA,25,M,1987,,19,11,6,1.5,3.1,3,1,4,1991,91,1992,always cheerful and dependable
"Agriculture, Agriculture Operations, and Related Sciences",California,On-Campus University Housing,Private,Female,PT,RA,20,S,2005,,91,34,57,2.1,2.7,2,1,2,2009,9,2011,can attest to his integrity
"Business, Management, Marketing, and Related Support Services",Connecticut,Commuter,Private,Male,FT,Non-Athlete,19,S,1997,,40,33,1,1.4,3.2,3,2,2,2001,1,2004,
Education,California,On-Campus Dorm,All Scholarship Types,Male,FT,Non-Athlete,17,S,1986,,12,3,4,1.5,1.2,2,2,2,1990,90,1992,
History,Nebraska,Commuter,Other,Male,FT,Non-Athlete,24,S,1988,,101,77,22,1.7,2.3,4,1,2,1992,92,1993,gets along well with others
"Agriculture, Agriculture Operations, and Related Sciences",Kentucky,On-Campus Dorm,Other,Male,FT,RA,20,S,2004,,81,23,19,3.5,3.2,3,1,2,2008,8,2010,
"Homeland Security, Law Enforcement, Firefighting",New Mexico,Commuter,None,Female,FT,Athelete,20,M,1987,,54,37,9,3.3,3.5,1,2,2,1991,91,1994,
Legal Professions and Studies,Montana,Commuter,Other,Female,FT,RA,23,M,1997,,129,29,35,2.1,2.2,2,1,3,2001,1,2003,
Liberal Arts and Sciences Studies and Humanities,Maine,Off-Campus Other,University,Female,FT,Non-Athlete,20,M,2001,,114,19,36,1.1,1,0,1,0,2005,5,2007,
"Area, Ethnic, Cultural, Gender, and Group Studies",New Jersey,Off-Campus Other,University,Male,FT,RA,19,M,1998,,137,93,4,1.2,3.6,0,1,0,2002,2,2006,is innovative and creative
Liberal Arts and Sciences Studies and Humanities,Tennessee,Commuter,None,Male,PT,Non-Athlete,25,S,2000,,122,42,66,1.9,3.6,3,2,0,2004,4,2005,
Multi/interdisciplinary Studies,Minnesota,Off-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,24,M,1997,,106,90,7,0.75,2.3,0,1,4,2001,1,2001,
History,Puerto Rico,Off-Campus University Housing,Other,Female,PT,RA,23,S,1985,,60,57,3,1.9,2.5,2,1,0,1989,89,1990,
Health Professions and Related Programs,Massachusetts,Off-Campus Other,University,Male,PT,RA,22,M,1995,,61,13,32,1.5,2.2,1,1,3,1999,99,2002,
Construction Trades,North Dakota,Commuter,All Scholarship Types,Male,PT,Non-Athlete,25,M,1986,,22,10,4,3.2,2.5,0,2,4,1990,90,1990,
"Communication, Journalism, and Related Programs",Connecticut,Commuter,Other,Female,FT,Athelete,20,S,1988,,83,46,13,2.3,,0,2,4,1992,92,1992,follows tasks through to completion
Health Professions and Related Programs,North Carolina,Off-Campus University Housing,Private,Male,FT,Non-Athlete,25,M,2000,,147,99,25,,0.75,3,2,2,2004,4,2007,can attest to his integrity
Undeclared,New Mexico,On-Campus University Housing,All Scholarship Types,Female,FT,RA,18,M,2003,,71,35,19,3.7,2.9,4,1,4,2007,7,2011,his qualifications and performance
History,Alaska,On-Campus Dorm,Other,Male,PT,RA,21,M,1993,,63,19,26,3.7,1.3,2,2,0,1997,97,1998,
Construction Trades,Alabama,Commuter,University,Male,PT,Non-Athlete,22,M,1986,,135,8,71,1.5,2.8,3,2,2,1990,90,1992,"comparable to peers,"
History,Dist. of Columbia,Commuter,None,Male,PT,Athelete,21,S,1989,,107,99,0,2.9,3.6,2,1,3,1993,93,1994,
Family and Consumer Sciences/human Sciences,Maine,Off-Campus Other,Other,Female,PT,Athelete,19,S,1988,,26,12,7,3.7,3.5,4,1,1,1992,92,1992,
Computer and Information Sciences and Support Services,Northern Marianas,Off-Campus Other,University,Male,FT,Non-Athlete,17,M,2001,,61,23,17,,4,3,1,0,2005,5,2007,
Multi/interdisciplinary Studies,Rhode Island,On-Campus University Housing,Private,Female,FT,Non-Athlete,21,M,1995,,12,8,2,1.6,2.1,3,2,4,1999,99,2001,
Library Science,Hawaii,On-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,18,M,2004,,66,11,14,3.5,2.1,4,2,1,2008,8,2011,would be pleased to provide a reference for
Library Science,Vermont,On-Campus Dorm,Private,Female,FT,Non-Athlete,24,S,2005,,86,31,28,1.4,3.2,1,1,3,2009,9,2010,will be successful in any enterprise he undertakes
Aviation,Nebraska,Commuter,All Scholarship Types,Male,PT,Non-Athlete,24,S,1992,,79,25,9,3.5,3.8,0,2,4,1996,96,1997,would be an asset to your program
Library Science,Arkansas,On-Campus University Housing,All Scholarship Types,Male,FT,Athelete,21,S,1999,,5,1,3,2.5,3.5,4,2,0,2003,3,2006,
"Communication, Journalism, and Related Programs",Mississippi,On-Campus Dorm,None,Male,PT,RA,22,S,1986,,81,27,48,1.7,3.3,1,2,2,1990,90,1991,
"Agriculture, Agriculture Operations, and Related Sciences",Micronesia,Commuter,All Scholarship Types,Female,FT,Non-Athlete,20,M,2004,,126,61,63,1.7,1.5,3,1,0,2008,8,2012,
Mathematics and Statistics,Massachusetts,On-Campus Dorm,Other,Male,FT,Non-Athlete,18,M,1991,,99,94,4,2.7,3.6,4,2,0,1995,95,1999,Health issues
Mechanic and Repair Technologies/technicians,Oregon,Off-Campus University Housing,None,Male,FT,Athelete,23,S,2004,,119,110,5,3.7,3.5,0,2,3,2008,8,2011,Builds on knowledge
Library Science,Oklahoma,Off-Campus University Housing,Other,Female,PT,RA,20,M,1993,,104,11,51,1,3.6,4,2,4,1997,97,2001,
Legal Professions and Studies,Indiana,On-Campus Dorm,Other,Female,FT,RA,20,S,1994,,142,140,1,2.8,2.9,0,2,0,1998,98,2001,follows tasks through to completion
"Communication, Journalism, and Related Programs",Delaware,Off-Campus Other,None,Female,FT,RA,22,S,1987,,95,18,19,1.8,2.6,2,2,0,1991,91,1994,would be a valuable addition to any organization
Engineering,North Carolina,Off-Campus University Housing,None,Female,PT,Athelete,23,M,1992,,144,74,8,3,3.7,3,1,2,1996,96,1996,
Engineering Technologies and Engineering-Related Fields,South Dakota,On-Campus University Housing,Other,Male,FT,Non-Athlete,18,S,2003,,130,2,29,3.1,1,0,2,3,2007,7,2009,
English Language and Literature/letters,Oregon,Off-Campus University Housing,Private,Male,FT,Athelete,23,M,1999,,129,111,3,1.8,3.7,4,2,2,2003,3,2005,
"Business, Management, Marketing, and Related Support Services",Utah,Off-Campus Other,None,Male,FT,Non-Athlete,18,M,2000,,114,93,3,1.1,,0,1,4,2004,4,2007,works well with oouthers
Human Services,Oklahoma,Commuter,Other,Male,FT,Non-Athlete,19,S,2001,,125,75,49,1.7,1.1,0,1,3,2005,5,2009,comments are well thought out and clearly articulated
Communications Technologies/technicians and Support Services,Arkansas,Off-Campus Other,Other,Male,PT,Athelete,22,S,1989,,39,19,19,2.1,3.2,2,1,4,1993,93,1995,
Aviation,Utah,On-Campus University Housing,University,Male,PT,Non-Athlete,22,M,1994,,20,12,2,3.2,2.5,3,2,2,1998,98,2002,
Family and Consumer Sciences/human Sciences,Massachusetts,On-Campus University Housing,Other,Female,FT,Non-Athlete,21,M,2003,,49,39,5,3.6,4,3,1,1,2007,7,2008,Self-starter
Biological and Biomedical Sciences,Connecticut,Off-Campus University Housing,None,Female,FT,RA,18,S,1988,,136,26,78,1.5,1.4,3,2,4,1992,92,1995,
Construction Trades,Ohio,Off-Campus University Housing,Other,Female,FT,Athelete,19,S,2001,,39,19,17,3.1,,0,2,0,2005,5,2009,
"Business, Management, Marketing, and Related Support Services",Hawaii,On-Campus Dorm,University,Female,FT,Non-Athlete,18,S,2000,,34,7,0,3.4,1.1,1,1,2,2004,4,2007,
Biological and Biomedical Sciences,Wisconsin,Off-Campus Other,All Scholarship Types,Male,FT,RA,23,M,1994,,145,23,30,3,2.8,4,2,3,1998,98,2001,a creative problem-solver
Family and Consumer Sciences/human Sciences,Massachusetts,Off-Campus Other,All Scholarship Types,Male,FT,Non-Athlete,18,M,1991,,47,39,7,3.6,1.8,1,1,4,1995,95,1995,
All Majors,Virginia,Commuter,Other,Male,FT,Athelete,24,M,1993,,27,11,10,3.6,3.3,2,1,4,1997,97,1997,
Communications Technologies/technicians and Support Services,Micronesia,Off-Campus Other,Other,Male,FT,RA,19,M,2005,,123,109,14,3.5,2.2,0,2,3,2009,9,2009,has been a pleasure to supervise
Human Services,Oregon,On-Campus University Housing,Private,Male,FT,Non-Athlete,24,M,1992,,132,84,48,2.9,1.3,1,1,3,1996,96,1996,
Engineering Technologies and Engineering-Related Fields,Louisiana,Off-Campus Other,All Scholarship Types,Female,PT,Athelete,24,M,1989,,5,3,1,3.2,3.4,0,2,4,1993,93,1993,have been his supervisor since
Architecture and Related Services,Puerto Rico,Commuter,University,Female,FT,Athelete,24,S,2000,,40,20,6,2.2,3.5,1,2,0,2004,4,2006,if you would like more information
Biological and Biomedical Sciences,Hawaii,Off-Campus Other,University,Male,FT,RA,24,M,2002,,81,40,24,1.5,2.4,3,1,3,2006,6,2006,request your favorable consideration of
Library Science,Georgia,Commuter,University,Male,PT,Non-Athlete,18,S,2002,,25,10,3,1.6,1.7,2,2,1,2006,6,2010,
Mechanic and Repair Technologies/technicians,Arkansas,Commuter,Other,Female,FT,RA,23,M,1990,,46,9,5,1.1,2.2,1,1,3,1994,94,1995,a creative problem-solver
Aviation,Northern Marianas,Off-Campus Other,Private,Female,FT,Non-Athlete,23,M,1996,,124,69,38,3,2.7,1,1,3,2000,0,2000,Applies themself
Legal Professions and Studies,Marshall Islands,On-Campus Dorm,None,Female,PT,Athelete,17,S,1995,,112,9,4,,3.5,1,1,4,1999,99,2002,
Multi/interdisciplinary Studies,Rhode Island,On-Campus University Housing,Private,Male,FT,Non-Athlete,18,M,1987,,9,7,0,3.4,1.1,4,2,2,1991,91,1991,in the past two years
