Major,Location,Residence,Scholarship,Sex,Status,Type,Enrollment Age,Marital Status,Enrollment Date,Sponsor,Credits Attempted,Credits Completed,Credits Dropped, Current GPA,Average GPA,Number of Sports,Intermural Participant,Number of Clubs,Expected Graduation Date,Class o f,Actual Graduation Date,Comments,Age,Is Underage Drinking OK,Has Drank O nCampus,Number of Drinks Per Week,Has been intoxicated,Has Purchased Alcohol
Library Science,Illinois,Off-Campus University Housing,None,Female,FT,Non-Athlete,19,M,1988,,13,2,2,1.3,2.5,2,2,4,1992,92,1995,,22,UnSure,Yes,1,Yes,Yes
Health Professions and Related Programs,Pennsylvania,Commuter,University,Male,PT,RA,23,S,1985,,44,39,0,3.7,2.6,2,1,4,1989,89,1992,,23,UnSure,no,3,No comment,No comment
Agriculture- Agriculture Operations- and Related Sciences,Virgin Islands,Off-Campus Other,Other,Male,PT,All,20,M,1991,,142,106,1,3.7,2.4,2,1,1,1995,95,1995,,21,Yes,Yes,2,Yes,No comment
Biological and Biomedical Sciences,American,On-Campus Dorm,Other,Female,PT,All,22,S,1997,,86,78,4,3.2,3.9,3,1,2,2001,1,2001,has a flair for organization,22,UnSure,no,3,no,Yes
Engineering,Hawaii,On-Campus University Housing,All Scholarship Types,Female,FT,All,18,S,1987,,134,66,26,3.4,3.1,1,2,2,1991,91,1994,,21,UnSure,no,2,Yes,Yes
Health Professions and Related Programs,North Dakota,Off-Campus Other,All Scholarship Types,Male,FT,Non-Athlete,18,S,1986,,35,35,0,3.6,1.6,3,2,3,1990,90,1993,,18,No,,1,No comment,
Engineering Technologies and Engineering-Related Fields,Iowa,Off-Campus University Housing,All Scholarship Types,Female,PT,RA,22,S,1988,,137,49,34,1.6,2.3,3,1,1,1992,92,1996,,24,UnSure,no,1,No comment,Yes
Architecture and Related Services,Puerto Rico,Off-Campus Other,None,Male,FT,Non-Athlete,22,M,1989,,132,101,17,3.6,3.2,1,2,0,1993,93,1993,,25,Yes,Yes,2,No comment,Yes
Multi/interdisciplinary Studies,Nebraska,Commuter,Other,Female,FT,RA,20,M,1985,,125,66,21,3.6,2.9,2,1,0,1989,89,1990,would be pleased to provide a reference for,20,Yes,,1,Yes,
Aviation,South Carolina,Commuter,None,Male,FT,Athelete,22,S,1986,,110,106,3,1.4,,2,2,4,1990,90,1991,,23,Yes,Yes,1,Yes,No comment
Area- Ethnic- Cultural- Gender- and Group Studies,Missouri,Commuter,Private,Female,FT,Non-Athlete,21,M,2003,,98,45,28,4,3.6,0,1,1,2007,7,2009,has always proved satisfactory,21,UnSure,no,3,Yes,no
Communication Journalism and Related Programs,Indiana,Off-Campus University Housing,University,Female,FT,All,23,M,2001,,108,3,79,3.9,1.6,4,1,4,2005,5,2005,has a flair for organization,25,No,no,3,No comment,No comment
Business Management Marketing and Related Support Services,Wisconsin,On-Campus University Housing,Private,Female,FT,Athelete,24,M,2002,,105,62,37,2.1,3.2,0,1,2,2006,6,2010,,28,Yes,Yes,1,No comment,no
Foreign Languages Literatures and Linguistics,American,Off-Campus Other,University,Female,FT,RA,19,S,2001,,98,39,44,1.8,2.8,3,2,2,2005,5,2006,comparable to peers-,21,Yes,Yes,3,Yes,no
Communications Technologies/technicians and Support Services,Texas,Off-Campus University Housing,University,Male,FT,Athelete,20,M,1997,,111,102,3,3.8,4,1,2,1,2001,1,2004,,22,No,no,1,Yes,No comment
Architecture and Related Services,Massachusetts,Commuter,Other,Male,FT,Athelete,23,S,1986,,100,35,0,2.9,3.5,2,2,3,1990,90,1993,one of our finest- most well-rounded undergraduates,25,Yes,Yes,2,No comment,No comment
Aviation,Wyoming,Off-Campus University Housing,University,Female,FT,RA,22,M,1999,,104,48,48,3.7,1.8,2,1,2,2003,3,2006,can attest to his integrity,26,UnSure,No comment,3,No comment,Yes
Business Management Marketing and Related Support Services,Puerto Rico,On-Campus Dorm,All Scholarship Types,Female,PT,Athelete,20,S,1988,,113,65,0,3.5,,1,2,3,1992,92,1994,,22,No,no,3,no,Yes
English Language and Literature/letters,Oregon,Off-Campus University Housing,None,Female,FT,All,18,S,1996,,15,14,0,2,2.6,0,1,1,2000,0,2003,,22,Yes,Yes,1,no,no
Mechanic and Repair Technologies/technicians,Delaware,Commuter,None,Male,FT,RA,25,S,1990,,58,6,1,1.2,1.3,4,2,2,1994,94,1998,am pleased to comment on,26,No,No comment,2,Yes,Yes
All Majors,South Dakota,Off-Campus University Housing,Private,Male,FT,Non-Athlete,17,S,1999,,7,1,3,2.6,3.1,4,2,2,2003,3,2007,has a take-charge personality,19,No,,3,Yes,
Business Management Marketing and Related Support Services,Connecticut,On-Campus Dorm,None,Male,FT,All,22,S,1997,,126,113,5,1.1,2.9,4,2,4,2001,1,2004,is personable and easy to work with,23,Yes,no,2,Yes,no
Communications Technologies/technicians and Support Services,Virginia,On-Campus University Housing,None,Male,FT,Athelete,18,S,2003,,68,27,6,2.2,3.5,0,2,2,2007,7,2010,,18,UnSure,,2,Yes,
Multi/interdisciplinary Studies,Wyoming,Off-Campus University Housing,None,Female,FT,All,23,S,1985,,55,43,9,2.1,1.7,2,2,4,1989,89,1991,,27,No,Yes,3,no,No comment
English Language and Literature/letters,New Mexico,Commuter,All Scholarship Types,Male,FT,Athelete,20,M,1987,,21,1,6,1.7,3.9,2,2,4,1991,91,1992,was a student in two of my classes,22,No,no,1,No comment,no
Area- Ethnic- Cultural- Gender- and Group Studies,Washington,Off-Campus University Housing,University,Male,FT,Athelete,21,S,1987,,84,41,17,1.8,4,1,2,1,1991,91,1995,will meet your expectations,25,UnSure,no,1,No comment,No comment
Aviation,Alabama,Off-Campus University Housing,All Scholarship Types,F,PT,Athelete,21,M,1995,,109,20,48,2.6,3.5,1,2,3,1999,99,2001,,22,No,Yes,1,Yes,No comment
Multi/interdisciplinary Studies,Wyoming,Commuter,Private,Male,PT,Non-Athlete,24,S,2005,,40,23,10,1.5,,2,2,2,2009,9,2009,will be successful in any enterprise he undertakes,26,UnSure,No comment,3,Yes,Yes
Education,Alabama,On-Campus University Housing,None,Male,FT,Athelete,19,M,1986,,143,94,33,3,3.9,0,1,4,1990,90,1994,,19,Yes,,2,Yes,
Construction Trades,Oregon,Commuter,Other,Female,FT,Non-Athlete,25,M,1988,,107,2,91,1.5,1.2,1,1,4,1992,92,1992,,26,Yes,No comment,2,Yes,No comment
Foreign Languages Literatures and Linguistics,Arizona,Commuter,None,Male,FT,RA,19,S,1995,,29,11,4,1.6,2.7,2,1,1,1999,99,2000,first came to my attention when,23,UnSure,no,3,No comment,Yes
Engineering,Kansas,Off-Campus University Housing,Other,Male,PT,Non-Athlete,24,M,2000,,71,4,55,1.7,3.1,4,2,0,2004,4,2004,,24,Yes,no,3,Yes,no
Health Professions and Related Programs,Idaho,Off-Campus University Housing,Other,Male,FT,All,23,M,1996,,90,65,8,1.3,4,0,2,0,2000,0,2002,have no hesitation in recommending,25,Yes,no,2,Yes,Yes
Area- Ethnic- Cultural- Gender- and Group Studies,Vermont,On-Campus Dorm,Other,Male,FT,All,21,M,1990,,130,114,11,2.3,3.8,4,1,1,1994,94,1994,,22,Yes,Yes,2,Yes,No comment
Engineering,Maryland,On-Campus Dorm,University,Male,PT,Non-Athlete,23,S,1985,,63,8,52,2.9,2.9,3,1,2,1989,89,1992,meticulous attention to detail,27,No,No comment,3,Yes,Yes
Communications Technologies/technicians and Support Services,New Mexico,On-Campus Dorm,Private,Male,PT,Athelete,24,S,2003,,123,36,20,3.2,3.8,4,1,3,2007,7,2011,,24,No,Yes,2,Yes,No comment
Architecture and Related Services,Indiana,Off-Campus University Housing,None,Male,FT,Non-Athlete,21,S,1993,,45,45,0,1.1,,0,2,1,1997,97,2001,,24,UnSure,Yes,3,Yes,Yes
Undeclared,Montana,Off-Campus University Housing,Private,Female,PT,Non-Athlete,22,M,1993,,127,37,73,1.8,3.1,3,2,4,1997,97,1998,,24,No,Yes,3,No comment,Yes
Family and Consumer Sciences/human Sciences,Montana,Commuter,University,Male,FT,Athelete,17,S,1990,,42,15,14,3.7,3.8,2,1,2,1994,94,1994,his qualifications and performance,17,UnSure,,1,Yes,
Military Technologies and Applied Sciences,Texas,Commuter,Other,Female,FT,All,23,M,1995,,24,16,7,1.8,2.1,4,2,2,1999,99,2001,ADHD,24,Yes,Yes,2,Yes,Yes
Computer and Information Sciences and Support Services,Mississippi,On-Campus Dorm,University,Male,FT,All,22,S,2004,,51,42,1,2.8,3.2,1,1,2,2008,8,2010,,23,Yes,Yes,1,Yes,Yes
Engineering Technologies and Engineering-Related Fields,New Mexico,Off-Campus University Housing,University,Male,PT,All,20,S,1998,,146,29,63,2.2,2,3,1,2,2002,2,2002,has worked directly under my supervision,21,Yes,Yes,1,Yes,no
Liberal Arts and Sciences Studies and Humanities,Oklahoma,Off-Campus University Housing,Other,Male,FT,Non-Athlete,23,M,1991,,148,7,11,1.5,3.4,3,2,2,1995,95,1998,,24,UnSure,Yes,1,Yes,Yes
Agriculture- Agriculture Operations- and Related Sciences,Missouri,On-Campus University Housing,Private,Male,PT,Athelete,25,S,2002,,49,31,5,3.5,3.8,2,1,3,2006,6,2010,completely loyal and trustworthy,26,No,No comment,3,Yes,No comment
Engineering,Kentucky,Off-Campus Other,Other,Female,PT,RA,20,S,1995,,118,77,25,2.9,3.4,4,2,1,1999,99,2000,,22,UnSure,no,2,Yes,Yes
Engineering,Oklahoma,On-Campus Dorm,None,Female,FT,All,18,M,1993,,30,8,3,1.3,3.4,4,2,2,1997,97,2000,,18,Yes,,3,No comment,
Construction Trades,North Carolina,Off-Campus Other,None,Female,FT,Non-Athlete,23,S,1999,,33,3,20,3.5,2.3,3,1,2,2003,3,2003,,23,No,Yes,2,Yes,no
Computer and Information Sciences and Support Services,Louisiana,Commuter,Other,Male,FT,All,21,S,1994,,41,6,13,3.5,3,1,2,1,1998,98,1998,punctual and hard working,24,Yes,Yes,3,Yes,No comment
Library Science,All Locations,Off-Campus University Housing,University,Female,FT,All,17,S,2003,,91,87,2,1,1.2,4,1,0,2007,7,2009,is mature beyond her years,17,Yes,,3,No comment,
Foreign Languages Literatures and Linguistics,Puerto Rico,Commuter,All Scholarship Types,Male,FT,RA,17,S,1996,,145,138,5,2.9,1.5,1,1,4,2000,0,2000,,21,Yes,no,3,Yes,Yes
Family and Consumer Sciences/human Sciences,Oklahoma,Off-Campus Other,Other,Female,FT,RA,25,S,1992,,66,19,16,2.2,2.5,4,2,1,1996,96,1999,,28,No,no,2,no,No comment
All Majors,Georgia,On-Campus Dorm,None,Male,FT,Athelete,24,S,2000,,142,141,1,3.6,3.5,4,1,2,2004,4,2007,,26,No,No comment,2,Yes,No comment
History,Oklahoma,Off-Campus University Housing,None,Male,FT,Athelete,18,M,1998,,17,2,11,1.1,3.7,0,1,4,2002,2,2002,,20,No,,3,Yes,
English Language and Literature/letters,Minnesota,On-Campus University Housing,Private,Male,FT,All,23,M,1989,,122,43,4,2.9,3.3,0,2,2,1993,93,1997,,24,Yes,Yes,1,Yes,Yes
English Language and Literature/letters,North Carolina,On-Campus University Housing,All Scholarship Types,Male,PT,Athelete,19,M,1995,,111,87,17,2.2,3.3,2,2,4,1999,99,2000,,20,Yes,,1,Yes,
Communications Technologies/technicians and Support Services,New York,On-Campus University Housing,Other,Female,PT,Non-Athlete,20,M,1988,,70,26,4,2.6,3,4,1,3,1992,92,1993,would be a valuable addition to any organization,21,Yes,No comment,1,No comment,No comment
Mechanic and Repair Technologies/technicians,Alabama,Commuter,University,Female,PT,Athelete,20,S,2002,,126,36,75,3.2,3.4,4,1,3,2006,6,2007,works independently and effectively,20,Yes,,1,no,
Homeland Security- Law Enforcement- Firefighting,Florida,On-Campus University Housing,University,Male,FT,Non-Athlete,25,S,1987,,71,17,39,1.4,2.4,0,1,2,1991,91,1992,,26,Yes,no,2,Yes,No comment
Computer and Information Sciences and Support Services,Iowa,On-Campus University Housing,All Scholarship Types,Female,FT,All,17,S,1990,,118,8,65,2.4,2.1,2,2,4,1994,94,1996,,19,No,,3,no,
Education,Minnesota,On-Campus University Housing,Private,Female,PT,All,22,M,1989,,95,69,17,1.1,1,4,2,2,1993,93,1993,,26,No,no,2,Yes,No comment
Mechanic and Repair Technologies/technicians,Montana,Off-Campus Other,Private,Male,FT,Non-Athlete,17,S,1993,,137,99,7,3.9,1.7,4,2,3,1997,97,1997,,19,UnSure,,3,No comment,
Multi/interdisciplinary Studies,South Carolina,Off-Campus Other,All Scholarship Types,Female,FT,Athelete,21,M,2005,,124,86,11,1.5,3.6,4,1,3,2009,9,2009,wide-range knowledge of,21,Yes,no,1,Yes,no
Communication Journalism and Related Programs,Puerto Rico,Commuter,All Scholarship Types,Female,FT,All,18,S,1996,,90,67,18,3.2,2.3,0,2,2,2000,0,2002,,19,Yes,,1,Yes,
Area- Ethnic- Cultural- Gender- and Group Studies,New Jersey,Off-Campus Other,None,Male,PT,RA,25,S,2002,,102,43,6,2.3,1.8,2,2,4,2006,6,2006,,29,No,Yes,2,No comment,no
Health Professions and Related Programs,Florida,On-Campus Dorm,All Scholarship Types,Female,FT,Non-Athlete,18,S,1989,,54,31,14,2.9,2.4,1,2,2,1993,93,1997,handles responsibility well,20,UnSure,,3,no,
Education,Arizona,Commuter,University,Female,FT,RA,25,S,2001,,51,1,39,4,3.1,0,1,1,2005,5,2009,has a take-charge personality,29,Yes,No comment,2,no,No comment
Mechanic and Repair Technologies/technicians,Connecticut,Off-Campus University Housing,Private,Male,FT,Athelete,20,M,2001,,39,22,8,3.4,3.5,1,1,4,2005,5,2009,,21,UnSure,no,2,No comment,no
Homeland Security- Law Enforcement- Firefighting,Ohio,Commuter,None,Female,FT,RA,22,M,2005,,145,102,5,2.7,2.4,1,2,4,2009,9,2010,should be given serious consideration,22,No,No comment,3,No comment,no
Family and Consumer Sciences/human Sciences,Oregon,On-Campus Dorm,None,Female,FT,RA,18,M,1997,,46,27,14,3.4,2,2,1,4,2001,1,2002,,19,UnSure,,2,No comment,
Architecture and Related Services,Texas,Commuter,Other,Male,FT,Athelete,18,S,1990,,116,67,1,1.5,3.6,3,2,3,1994,94,1998,will meet your expectations,18,Yes,,2,Yes,
Health Professions and Related Programs,Maryland,Commuter,University,Male,FT,All,20,M,2002,,49,15,32,1.3,,2,1,3,2006,6,2008,,21,Yes,No comment,2,Yes,No comment
Mechanic and Repair Technologies/technicians,Connecticut,Off-Campus University Housing,Other,Male,FT,Athelete,21,M,1998,,70,28,42,1.4,3.7,3,1,1,2002,2,2006,,24,Yes,No comment,3,No comment,Yes
Construction Trades,Texas,Off-Campus University Housing,Private,Female,FT,Athelete,20,S,1985,,117,2,103,1.7,3.5,3,2,1,1989,89,1990,,24,No,no,2,no,Yes
Foreign Languages Literatures and Linguistics,South Dakota,Off-Campus University Housing,Private,Female,PT,RA,17,S,1996,,108,22,11,2.7,3.4,2,2,0,2000,0,2002,her sensitivity and concern for others,19,UnSure,,3,Yes,
Liberal Arts and Sciences Studies and Humanities,Hawaii,Off-Campus Other,Other,Female,FT,All,22,M,1986,,81,63,18,2.5,1.9,4,2,3,1990,90,1992,,24,UnSure,Yes,1,No comment,no
Mathematics and Statistics,Texas,On-Campus University Housing,Other,Female,PT,RA,21,S,1997,,101,44,45,0.75,2.2,4,1,1,2001,1,2001,always behaves professionally,21,Yes,No comment,3,Yes,Yes
Communication Journalism and Related Programs,Oregon,On-Campus Dorm,Private,Male,FT,Athelete,21,S,1996,,121,55,12,3.7,3.8,0,2,3,2000,0,2001,,24,No,No comment,1,No comment,Yes
Communications Technologies/technicians and Support Services,Ohio,On-Campus Dorm,None,Male,PT,RA,25,S,1992,,46,27,3,1.4,1.2,3,1,4,1996,96,1999,,28,Yes,no,1,No comment,Yes
Mechanic and Repair Technologies/technicians,Maryland,On-Campus University Housing,University,Female,PT,RA,19,S,2004,,75,40,31,3.2,1.3,1,2,0,2008,8,2008,,21,Yes,Yes,2,No comment,Yes
Aviation,Nevada,Commuter,University,Female,FT,Athelete,20,M,1990,,148,128,17,2.1,3.8,4,2,3,1994,94,1997,willing to take on new responsibilities,22,No,no,2,no,no
Aviation,Massachusetts,On-Campus University Housing,Other,Female,PT,Non-Athlete,22,M,1987,,95,73,14,1.6,3.5,2,1,4,1991,91,1991,,22,No,No comment,2,No comment,Yes
Homeland Security- Law Enforcement- Firefighting,American,On-Campus University Housing,None,Male,PT,Non-Athlete,23,M,1989,,92,52,30,,1.1,0,1,2,1993,93,1993,works efficiently and effectively,26,Yes,Yes,3,No comment,Yes
Legal Professions and Studies,Hawaii,Off-Campus University Housing,Other,Female,PT,Athelete,17,S,1992,,137,76,50,2.1,3.8,3,1,2,1996,96,1996,her sensitivity and concern for others,21,UnSure,no,2,No comment,no
Foreign Languages Literatures and Linguistics,Colorado,On-Campus Dorm,All Scholarship Types,Female,FT,Non-Athlete,21,S,1990,,73,56,15,1.7,2.6,3,1,3,1994,94,1994,,24,Yes,no,2,No comment,No comment
Biological and Biomedical Sciences,Rhode Island,Commuter,University,Female,FT,Non-Athlete,19,M,1992,,132,2,101,3.9,2.3,3,2,2,1996,96,1997,Applies themself,22,No,Yes,3,No comment,Yes
Military Technologies and Applied Sciences,Maryland,On-Campus University Housing,Other,Female,PT,Athelete,20,M,2002,,40,0,1,2.6,3.5,2,1,2,2006,6,2010,,24,No,No comment,2,Yes,No comment
Biological and Biomedical Sciences,Rhode Island,Off-Campus University Housing,Private,Male,FT,Athelete,22,M,1999,,22,12,5,1.4,4,1,1,3,2003,3,2003,,22,Yes,Yes,3,No comment,Yes
History,New Jersey,On-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,20,M,2002,,11,1,10,2.8,1.6,3,2,3,2006,6,2010,,23,UnSure,no,3,Yes,no
Liberal Arts and Sciences Studies and Humanities,Colorado,Off-Campus Other,University,Female,FT,Non-Athlete,20,S,1994,,30,10,7,1.9,2.3,0,1,2,1998,98,1998,has my highest recommendation,21,No,Yes,3,No comment,Yes
Engineering Technologies and Engineering-Related Fields,Washington,Commuter,Other,Female,FT,All,23,M,1998,,130,67,35,2,1.5,0,2,0,2002,2,2006,,23,UnSure,no,1,Yes,Yes
Agriculture- Agriculture Operations- and Related Sciences,Colorado,Commuter,Other,Male,FT,Non-Athlete,24,S,1995,,18,18,0,2.9,3.1,3,1,4,1999,99,1999,,26,UnSure,No comment,2,No comment,No comment
Military Technologies and Applied Sciences,Oklahoma,On-Campus University Housing,All Scholarship Types,Female,PT,RA,25,S,1988,,82,28,40,2.6,2.7,4,2,2,1992,92,1992,,29,Yes,Yes,2,Yes,Yes
Military Technologies and Applied Sciences,Tennessee,On-Campus Dorm,All Scholarship Types,Female,PT,Non-Athlete,18,S,1999,,79,24,36,3.1,2.1,1,2,2,2003,3,2003,,21,Yes,no,2,Yes,No comment
Engineering,Vermont,Commuter,None,Male,FT,All,18,M,1991,,111,82,8,1.8,2.6,3,1,1,1995,95,1999,,19,Yes,,1,Yes,
Undeclared,Pennsylvania,Commuter,Private,Female,PT,RA,19,S,1993,,87,46,17,3.2,1,3,1,4,1997,97,2000,is intelligent and ambitious,22,No,no,3,Yes,no
Engineering Technologies and Engineering-Related Fields,Pennsylvania,Off-Campus Other,All Scholarship Types,Female,FT,RA,17,S,1995,,144,144,0,,1.8,2,2,2,1999,99,2001,,21,Yes,no,1,no,No comment
Liberal Arts and Sciences Studies and Humanities,American,Off-Campus Other,Other,Female,PT,Non-Athlete,21,S,1987,,72,63,3,2.7,3.3,2,2,2,1991,91,1993,,25,No,Yes,3,no,no
Foreign Languages Literatures and Linguistics,New Jersey,Commuter,Private,Female,FT,RA,22,M,1993,,135,103,0,1.3,3.3,1,2,2,1997,97,1997,her sensitivity and concern for others,23,Yes,No comment,1,Yes,Yes
Human Services,Marshall Islands,On-Campus Dorm,Other,Female,PT,RA,20,S,1993,,111,84,25,1.4,3.9,1,2,3,1997,97,2001,her sensitivity and concern for others,20,No,,2,no,
Liberal Arts and Sciences Studies and Humanities,Alaska,On-Campus University Housing,Private,Male,PT,RA,19,S,1998,,13,5,6,1,3.9,4,1,4,2002,2,2002,have known Ms. Doe for,19,No,,2,No comment,
Business Management Marketing and Related Support Services,Ohio,Off-Campus Other,University,Male,PT,Athelete,21,M,1988,,28,21,4,3.8,3.6,4,1,0,1992,92,1992,comments are well thought out and clearly articulated,22,UnSure,No comment,1,Yes,No comment
Family and Consumer Sciences/human Sciences,Maine,Commuter,All Scholarship Types,Female,FT,Non-Athlete,18,S,2000,,60,29,11,1.9,2.2,0,1,3,2004,4,2005,will meet your expectations,20,No,,2,No comment,
History,Louisiana,Commuter,None,Female,PT,All,20,M,2001,,28,1,18,2.4,1.1,2,1,2,2005,5,2006,have no hesitation in recommending,22,Yes,Yes,3,Yes,no
Liberal Arts and Sciences Studies and Humanities,Alabama,Commuter,All Scholarship Types,Female,PT,All,25,M,2003,,30,9,2,2.7,3.8,1,2,3,2007,7,2011,,26,UnSure,Yes,3,No comment,Yes
Mathematics and Statistics,Micronesia,Off-Campus Other,Other,Female,FT,Athelete,17,M,1996,,56,38,5,3.5,3.5,1,2,0,2000,0,2001,is intelligent and ambitious,17,No,,1,no,
Communications Technologies/technicians and Support Services,Arkansas,On-Campus Dorm,University,Female,PT,Non-Athlete,24,S,1999,,15,14,1,2.2,1.4,2,2,0,2003,3,2005,,28,UnSure,no,1,no,No comment
Homeland Security- Law Enforcement- Firefighting,Nebraska,Off-Campus University Housing,University,Male,FT,Athelete,19,M,2005,,106,8,81,4,3.6,3,1,0,2009,9,2010,,19,No,,1,No comment,
Liberal Arts and Sciences Studies and Humanities,Montana,Off-Campus University Housing,Private,Male,FT,All,21,S,1987,,129,92,6,3.3,1.1,0,1,0,1991,91,1992,,25,No,Yes,2,Yes,No comment
Biological and Biomedical Sciences,North Carolina,On-Campus University Housing,All Scholarship Types,Female,PT,RA,24,S,2004,,63,20,31,3.1,3.7,2,1,2,2008,8,2011,Health issues,26,UnSure,no,3,no,Yes
Mathematics and Statistics,Montana,Off-Campus Other,All Scholarship Types,Female,FT,All,20,S,1989,,89,75,12,3.4,4,0,1,3,1993,93,1996,is a pleasure to recommend,21,Yes,Yes,2,Yes,No comment
Multi/interdisciplinary Studies,North Carolina,Commuter,Private,Female,PT,All,21,S,1996,,10,5,5,2.1,3.8,1,1,4,2000,0,2000,have no reservations in,22,UnSure,no,1,no,no
Human Services,Puerto Rico,Off-Campus Other,University,Male,FT,Athelete,22,S,1989,,107,101,1,1.3,3.8,0,1,4,1993,93,1995,will measure up to your high standards,24,No,No comment,2,No comment,No comment
Computer and Information Sciences and Support Services,Pennsylvania,Off-Campus Other,All Scholarship Types,Female,FT,Athelete,21,S,1991,,15,5,5,2.8,,1,2,1,1995,95,1996,,21,Yes,Yes,1,no,Yes
All Majors,Pennsylvania,Off-Campus Other,University,Female,FT,Non-Athlete,17,M,1988,,52,26,12,3.2,3.8,0,1,0,1992,92,1992,is innovative and creative,17,No,,1,No comment,
Biological and Biomedical Sciences,Colorado,Commuter,All Scholarship Types,Female,FT,All,22,S,2005,,143,31,11,2.1,3.7,0,1,3,2009,9,2012,communicates her ideas clearly,22,No,No comment,3,Yes,Yes
Education,Rhode Island,Commuter,Other,Male,FT,Athelete,22,S,1991,,138,43,55,2.5,3.4,1,1,4,1995,95,1995,gets along well with others,25,Yes,no,3,Yes,no
Family and Consumer Sciences/human Sciences,Tennessee,Off-Campus University Housing,Private,Female,FT,RA,19,S,2005,,76,62,1,1.3,3.3,0,2,3,2009,9,2013,,21,No,No comment,1,no,No comment
Architecture and Related Services,Micronesia,Off-Campus Other,Other,Female,PT,Athelete,19,M,1987,,35,14,17,3.3,4,0,2,3,1991,91,1992,can offer only the highest recommendation for,21,Yes,No comment,3,no,Yes
Communication Journalism and Related Programs,New York,On-Campus Dorm,Private,Female,FT,RA,18,S,1993,,114,89,19,2.4,3,2,1,3,1997,97,1999,,21,UnSure,No comment,3,no,No comment
Mathematics and Statistics,New Jersey,Off-Campus Other,University,Male,FT,All,24,S,2005,,126,112,14,1.1,0.75,3,2,2,2009,9,2012,have admiration and respect for,27,Yes,no,2,Yes,Yes
Communications Technologies/technicians and Support Services,Virgin Islands,Off-Campus Other,University,Female,FT,All,18,M,1988,,7,6,0,3,3.1,3,1,0,1992,92,1995,has my highest recommendation,21,No,no,1,Yes,no
Engineering Technologies and Engineering-Related Fields,Arizona,On-Campus University Housing,Private,Female,PT,Non-Athlete,24,M,1992,,73,68,0,3.3,1,1,2,1,1996,96,1996,conventions/grammar rule,28,Yes,No comment,1,no,No comment
Communication Journalism and Related Programs,Colorado,Off-Campus Other,Private,Female,FT,RA,21,M,1995,,115,102,10,2.8,2.3,3,1,4,1999,99,2002,,24,UnSure,No comment,3,Yes,no
Agriculture- Agriculture Operations- and Related Sciences,Palau,On-Campus Dorm,University,Male,FT,Non-Athlete,17,S,2003,,147,23,22,0.75,3.4,2,1,0,2007,7,2008,has a take-charge personality,20,Yes,,1,No comment,
English Language and Literature/letters,Nevada,Off-Campus Other,None,Female,PT,Athelete,18,S,2002,,18,14,3,3.2,4,0,1,1,2006,6,2010,,19,UnSure,,3,Yes,
Liberal Arts and Sciences Studies and Humanities,Colorado,Commuter,Private,Male,PT,RA,22,S,1987,,109,90,19,2.2,3.7,3,2,1,1991,91,1994,,22,No,No comment,2,No comment,no
Communications Technologies/technicians and Support Services,Utah,On-Campus Dorm,Private,Male,FT,Non-Athlete,24,S,2002,,81,25,56,3.6,3.1,4,2,1,2006,6,2008,,26,UnSure,Yes,2,Yes,no
Multi/interdisciplinary Studies,Northern Marianas,On-Campus Dorm,Private,Female,FT,Non-Athlete,21,M,2001,,137,70,38,2.8,1.8,3,2,4,2005,5,2006,,23,Yes,Yes,2,No comment,no
Architecture and Related Services,Northern Marianas,On-Campus University Housing,Private,Male,PT,Athelete,24,S,1987,,130,29,8,1.5,3.4,1,1,0,1991,91,1991,,28,Yes,No comment,1,Yes,Yes
Mathematics and Statistics,Kansas,Commuter,Private,Male,PT,Non-Athlete,25,S,2005,,7,6,0,3.3,2.5,4,1,3,2009,9,2012,,25,Yes,Yes,2,Yes,no
All Majors,Northern Marianas,Off-Campus Other,None,Female,PT,All,21,S,1987,,136,114,19,1.1,1.4,0,1,3,1991,91,1993,,22,Yes,No comment,2,Yes,Yes
Mathematics and Statistics,Florida,On-Campus University Housing,All Scholarship Types,Female,FT,Athelete,17,M,1992,,7,5,1,1.2,4,3,2,0,1996,96,1999,if I can further assist,20,Yes,,1,no,
Aviation,Oklahoma,Off-Campus University Housing,All Scholarship Types,Male,FT,All,20,S,1991,,11,7,0,3.9,2.7,0,2,2,1995,95,1998,his qualifications and performance,24,No,Yes,3,Yes,No comment
Engineering Technologies and Engineering-Related Fields,Tennessee,On-Campus University Housing,University,Male,FT,Athelete,25,S,1997,,119,115,4,3.2,,1,1,2,2001,1,2002,,29,Yes,no,1,Yes,Yes
Education,Georgia,On-Campus University Housing,None,Female,PT,Athelete,19,M,2003,,27,4,19,1.2,3.7,4,1,3,2007,7,2010,,23,Yes,No comment,3,Yes,Yes
Computer and Information Sciences and Support Services,American,On-Campus Dorm,All Scholarship Types,Female,PT,Non-Athlete,23,S,1989,,69,47,8,1.7,1.2,0,1,3,1993,93,1994,in the past two years,23,No,no,1,Yes,No comment
Biological and Biomedical Sciences,Northern Marianas,On-Campus University Housing,Other,Male,FT,Non-Athlete,19,M,1997,,97,51,5,0.75,2.4,3,2,2,2001,1,2001,should be given serious consideration,21,No,Yes,1,No comment,No comment
Business Management Marketing and Related Support Services,North Carolina,Commuter,All Scholarship Types,Male,FT,RA,22,S,2001,,77,27,4,1.7,2.5,0,1,0,2005,5,2009,would be an asset to your program,23,UnSure,No comment,2,Yes,no
